,id,title,runtime,original_language,budget,release_date,revenue,vote_average,popularity
173,16617,Mindhunters,106.0,en,27000000,2004-05-07,21148829.0,6.3,7.600017
174,54548,All You Need is Love,92.0,de,0,2009-11-03,0.0,8.3,0.567095
175,95578,Evel Knievel,91.0,en,0,2004-07-30,0.0,6.0,0.108909
176,266433,Ejecta,82.0,en,0,2014-09-24,0.0,3.6,1.860814
177,271706,Big Fish & Begonia,100.0,zh,4531653,2016-07-08,84552250.0,6.3,2.238595
178,18912,Angst,75.0,de,0,1983-01-01,0.0,7.2,4.705283
179,53870,10.5,165.0,en,20000000,2004-05-02,0.0,5.9,5.536166
180,89921,White Fire,84.0,en,0,1984-07-05,0.0,6.1,0.232757
181,61943,"Django, Kill! (If You Live Shoot!)",100.0,it,0,1967-05-03,0.0,4.9,1.012359
182,49051,The Hobbit: An Unexpected Journey,169.0,en,250000000,2012-11-26,1021103568.0,7.0,23.253089
183,197489,The Four Feathers,100.0,en,0,1978-01-01,0.0,5.4,1.267188
184,13691,Piglet's Big Movie,75.0,en,0,2003-03-16,0.0,6.1,8.516475
185,261410,VeggieTales: God Wants Me to Forgive Them!?!,30.0,en,0,1994-10-01,0.0,4.0,0.130473
186,313867,Roald Dahl's Esio Trot,87.0,en,0,2015-01-02,0.0,7.0,2.485569
187,9664,Flyboys,140.0,en,60000000,2006-09-22,17800000.0,6.3,5.460942
188,12153,White Chicks,109.0,en,37000000,2004-06-23,113086475.0,6.3,7.723341
189,1942,Bunny Lake Is Missing,107.0,en,0,1965-10-03,0.0,6.6,11.74416
190,166271,Haunter,97.0,en,0,2013-10-25,0.0,5.9,8.753381
191,54558,The Legend of Seven Cutter,100.0,ko,1700000,2006-03-30,0.0,5.7,0.90546
192,64786,Yes or No,107.0,th,0,2010-12-16,0.0,7.7,1.316925
193,255511,Rue de l'Estrapade,97.0,fr,0,1953-04-14,0.0,5.0,0.568722
194,14709,Varsity Blues,106.0,en,0,1999-01-15,0.0,6.0,9.162643
195,50700,Hey Hey It's Esther Blueburger,103.0,en,6000000,2008-04-10,0.0,6.5,0.481348
196,75888,Blood on the Sun,93.0,en,0,1945-04-26,0.0,5.1,1.130503
197,45585,Kill Me Please,95.0,fr,0,2010-11-03,0.0,7.1,1.472867
198,34573,Alice in Wonderland,187.0,en,14000000,1985-12-09,0.0,6.3,3.794133
199,204762,Miss and the Doctors,100.0,fr,0,2013-09-04,0.0,5.0,1.222967
200,13284,Barbie: Fairytopia,70.0,en,0,2005-03-08,0.0,5.7,7.097884
201,61385,The Tuner,154.0,ru,0,2004-09-06,0.0,6.9,0.969783
202,375798,Brice 3,95.0,fr,0,2016-10-19,0.0,4.3,7.276407
203,42658,Helen of Troy,118.0,en,0,1956-01-26,0.0,6.8,5.489068
204,162643,Snow & Ashes,110.0,en,600000,2010-05-16,0.0,3.5,0.362249
205,447818,Generation Iron 2,106.0,en,0,2017-05-12,0.0,8.3,2.004971
206,368006,24,164.0,ta,10000000,2016-05-05,15000000.0,7.1,1.264714
207,661,The Marriage of Maria Braun,116.0,de,0,1979-02-20,0.0,7.1,2.617272
208,16437,Cyborg 2,99.0,en,5000000,1993-11-24,0.0,3.9,4.456003
209,50479,Avalon High,60.0,en,0,2010-11-12,0.0,5.8,4.96893
210,47812,Love and the City 2,93.0,ru,0,2010-02-25,10198357.0,5.9,0.318437
211,214472,The Roller Skate Craze,1.0,en,0,1907-08-02,0.0,7.0,0.036471
212,298432,Freeway: Crack in the System,103.0,en,0,2014-10-24,0.0,9.0,0.135776
213,352917,Víkend,,hu,0,2015-01-01,0.0,6.0,0.115035
214,79118,Hamsun,159.0,sv,0,1996-04-19,0.0,7.3,0.937559
215,83581,Some Voices,101.0,en,0,2000-08-25,0.0,6.8,0.794749
216,96944,Resistance,92.0,en,0,2011-11-25,0.0,5.1,1.122866
217,91973,Lollipop Monster,90.0,de,0,2011-02-14,0.0,6.9,0.482273
218,400465,Hitler's Folly,67.0,en,0,2016-06-03,0.0,3.4,0.187889
219,115161,Fish Heads,5.0,en,0,1980-01-01,0.0,8.0,0.00335
220,34796,City Girl,90.0,en,0,1930-02-16,0.0,7.4,2.933003
221,32196,"Dance, Girl, Dance",90.0,en,0,1940-08-30,0.0,5.6,0.523843
222,27743,Serial Killing 101,89.0,en,0,2004-01-01,0.0,5.8,0.251914
223,292834,Brother Nature,97.0,en,0,2016-09-09,0.0,5.0,1.006543
224,392812,Dogs,104.0,ro,0,2016-09-28,0.0,7.0,1.826317
225,5871,The World is Big and Salvation Lurks Around the Corner,105.0,bg,0,2008-03-14,0.0,7.0,2.114403
226,248231,Miraculum,104.0,fr,4600000,2014-02-28,0.0,5.3,0.82134
227,243312,What on Earth!,10.0,en,0,1966-01-01,0.0,6.5,0.106361
228,142391,95ers: Time Runners,96.0,en,750,2013-02-14,0.0,4.2,1.489131
229,8545,Little Voice,97.0,en,0,1998-11-05,0.0,6.6,7.214017
230,81589,Must Read After My Death,73.0,en,0,2007-12-15,0.0,7.3,0.158931
231,22828,Homicide,102.0,en,0,1991-05-28,0.0,5.9,7.571853
232,168138,The Last Days,100.0,es,0,2013-03-27,0.0,5.6,5.961623
233,39172,After,0.0,en,0,2009-10-23,0.0,5.3,0.396803
234,62184,Eye of God,84.0,en,0,1997-10-17,0.0,6.0,0.119266
235,34067,Pokémon: Lucario and the Mystery of Mew,103.0,ja,0,2005-07-16,0.0,6.4,3.59535
236,72214,The Snow Queen,64.0,ru,0,1957-10-22,0.0,5.8,1.814736
237,1848,Poodle Springs,92.0,en,0,1998-07-25,0.0,6.4,1.833439
238,95556,The Liberation of L.B. Jones,102.0,en,0,1970-03-18,0.0,4.0,0.117806
239,161460,You Can't Win 'Em All,97.0,en,0,1970-07-23,0.0,6.1,1.103785
240,12597,Hellraiser: Inferno,99.0,en,2000000,2000-10-03,0.0,5.3,6.984609
241,76289,Terminus,0.0,fr,0,1987-01-28,0.0,5.0,0.410204
242,36106,True Heart Susie,61.0,en,0,1919-06-01,0.0,7.0,1.00589
243,278111,Angels Don't Sleep Here,88.0,en,3500000,2002-04-02,0.0,2.5,0.524742
244,9722,Bewitched,102.0,en,85000000,2005-06-21,131426169.0,4.8,9.276085
245,113038,Zero Bridge,96.0,en,0,2011-02-16,0.0,5.0,0.042815
246,316727,The Purge: Election Year,105.0,en,10000000,2016-06-29,118587880.0,6.1,13.1789
247,1999,In the Bedroom,130.0,en,1700000,2001-11-23,0.0,6.4,9.698269
248,334307,Through the Air,0.0,fr,0,2015-06-17,0.0,6.6,0.999402
249,169865,The Frankenstein Theory,87.0,en,0,2013-03-01,0.0,4.4,3.944932
250,93230,Nobel's Last Will,90.0,sv,0,2012-03-02,0.0,5.6,2.762073
251,14579,Lake City,92.0,en,0,2008-01-01,0.0,6.3,0.944598
252,46641,Today's Special,99.0,en,0,2009-10-14,400654.0,6.2,5.959911
253,161321,The Power of Few,96.0,en,0,2013-02-15,0.0,5.0,3.278622
254,41349,The Milky Way,89.0,en,0,1936-02-07,0.0,6.5,0.480208
255,449677,The Year of Living Vicariously,63.0,en,0,2005-01-23,0.0,5.0,0.037665
256,148331,Solovey-Razboynik,87.0,ru,0,2012-11-22,5.0,5.8,0.816981
257,358238,Aimy in a Cage,75.0,en,0,2016-01-08,0.0,5.2,0.533455
258,11929,Dolores Claiborne,132.0,en,0,1995-03-24,0.0,7.1,5.8025
259,55738,Shut Up and Kiss Me!,101.0,en,0,2004-03-05,0.0,4.3,0.398379
260,5558,The Phantom of Liberty,103.0,fr,0,1974-09-10,0.0,7.4,2.427337
261,52225,Majesty,100.0,en,0,2010-10-28,0.0,6.0,0.086291
262,257155,Threads of Destiny,110.0,en,0,2014-02-23,0.0,4.0,0.738069
263,95358,The Pleasure Seekers,107.0,en,0,1964-12-25,0.0,5.3,0.167422
264,381064,American Fable,96.0,en,0,2017-02-17,0.0,6.3,2.770366
265,403570,Red Dog: True Blue,88.0,en,0,2016-12-26,0.0,5.9,1.273964
266,78715,Toomelah,106.0,en,0,2011-05-16,0.0,6.4,0.541323
267,113456,Adelheid,99.0,cs,0,1970-04-06,0.0,6.7,0.74998
268,86363,Gun The Man Down,76.0,en,0,1956-11-15,0.0,6.0,0.353156
269,4380,Shall We Dance?,107.0,en,50000000,2004-10-15,170128460.0,5.9,9.082538
270,21175,Lakshya,186.0,hi,483719,2004-06-18,0.0,6.7,1.608795
271,123648,The Land,130.0,ar,0,1969-01-01,0.0,9.8,0.290017
272,36731,The Roman Spring of Mrs. Stone,103.0,en,0,1961-12-28,0.0,7.4,0.943604
273,397717,Barry,104.0,en,0,2016-09-10,0.0,5.1,8.631184
274,50578,Amongst White Clouds,86.0,en,0,2005-01-01,0.0,6.8,0.112978
275,24786,In Tranzit,113.0,en,0,2007-05-16,0.0,6.2,5.005837
276,4311,The Sleeping Car Murder,95.0,fr,0,1965-11-17,0.0,6.9,0.881091
277,78604,Michael,96.0,de,0,2011-05-12,0.0,7.4,2.932292
